"taskID","weight","patina","site","surface","toSearch","dateDiscoveryMonth","objectType","gridRef","thickness","width","other","composition","optionsAccuracy","associations","Find spot marker","description","collection","dateDiscoveryDay","remarks","dateDiscoveryYear","rightCorner","length","edge","publications","userID","Lon","Lat","inputBy","imageURL"
"10466","279.95","Thick light brownish green. On one side this is almost earth colour and it is chipped off at the edges.","england, berkshire","Smooth","berkshire","None","Flat celt","","","","","","1000","","Find spot marker","","Private, F Ransom Esq, Hitchin","None","","None","d","115","",""," 1"," -1.03187293"," 51.45349","Hugh Fiske; Daniel Pett","https://farm4.staticflickr.com/3803/13310712683_e57c29fa6e_b.jpg"
"10466","","thick light brownish green patina on one side this is almost earth colour & it is chipped off at the edges.","england [;] berkshire","smooth","","None","Flat Celt","","","","Weight transcribed as written","","100","","Find spot marker","","Private Collection [;] F. Ransom Esq. [;] Hitchin","None","","None","d","115","",""," 64"," -3.27657530"," 54.70235","Hugh Fiske; Daniel Pett","https://farm4.staticflickr.com/3803/13310712683_e57c29fa6e_b.jpg"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10467","","Cleaned.","berks. [;] bray. [;] dredged from the thames, 400 yards above bray. march 1952.","","bray berks","3","Flat axe","","","","","Bronze. Good Condition.","1000","","Find spot marker","","Reading Museum 44:52 [;] T.C.B. Coll.","None","J. Wymer","1952","d","","",""," 64"," -0.70626143"," 51.50912","Hugh Fiske","https://farm4.staticflickr.com/3676/13310923184_af253d7593_b.jpg"
"10467","","Cleaned","berks., bray., dredged from the thames, 400 yards above bray.","","bray on thames","3","Flat Axe","","","","There is a lot of information missing from this card. There are no measurements listed, weight etc so I have entered what I can see. There is no grid reference on the card so I have found the nearest point on the map that I can deduce from the description. The only letter in the top right corner is a letter d. Underneath that is: [;] Reading Museum 44:52 T.C.B. Coll. [;] The only other information is the signature J.Wymer. ","","10000","","Find spot marker","","","None","","1952","d","","","",," -0.70036511"," 51.51129","Hugh Fiske","https://farm4.staticflickr.com/3676/13310923184_af253d7593_b.jpg"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10468","347.28","","england [;] berkshire [;] cholsey [;] near church [;] found when ploughing [;] june 1878.","yellow Bronze. with black stains.","cholsey","6","Flat Celt.","","12","","2 cross section drawings of celt on reverse. [;] Blade widens more quickly as it nears edge, tips very slightly flared. [;] Edge blunted.","","1000","","Find spot marker","Butt slightly hammered. edge dented.","Reading Museum A.L. XLIV. [;] Davies Collection (Wallingford) March 1891.","None","","1878","d","126","77","","243"," -1.15471973"," 51.57844","Jeff Okazaki; scruffyarcher","https://farm8.staticflickr.com/7403/13310711953_3f8cba2448_b.jpg"
"10468","347.288","","england, berkshire, cholsey","yellow Bronze with black stains","cholsey berkshire","6","Flat Celt","","12","27","","Butt slightly hammered.edge dented","1000","","Find spot marker","","","None","found when ploughing","1878","d","126","77","Reading Museum A.L. XLIV [;] Davies collection (Wallingford) March 1891","482"," -1.24194140"," 51.40222","Jeff Okazaki; scruffyarcher","https://farm8.staticflickr.com/7403/13310711953_3f8cba2448_b.jpg"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10469","432.33","dark with patches of apple green","england [;] berks [;] cholsey [;] near church [;] ","badly pitted","cholsey","6","Flat Celt","","9","","found while ploughing [;] June 1878 [;] ","","1000","","Find spot marker","Butt broken + cracked. edge dented","Reading Museum [;] AL. XLV [;] Davies Coll. (Wallingford) March 1891.","None","","1878","d","142","101","","161"," -1.15854992"," 51.57903","scruffyarcher; Jared Obermeyer","https://farm8.staticflickr.com/7443/13310711633_11b4a8772c_b.jpg"
"10469","432.33","","england, berks, cholsey","badly pitted- dark with patches of apple green","cholsey berkshire","6","Flat Celt","","9","38","","Butt broken and cracked, Edge dented","1000","","Find spot marker","","Reading Museum A L XLV [;] Davies Coll[ection} (Wallingford) March 1891","None","found when ploughing","1878","d","142","101","","482"," -1.24194140"," 51.40222","scruffyarcher; Jared Obermeyer","https://farm8.staticflickr.com/7443/13310711633_11b4a8772c_b.jpg"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10470","","","berkshire [;] cholsey [;] halfpenny lane","","cholsey, halfpenny lane","None","Flat Axe [;] (""Small bronze celt"")","","","","remark added in pencil at some time","","10000","","Find spot marker","","Item now untraced","None","Is this one of those in Reading Museum? (Found near church in 1878)","None","unclassifiable","","","H. Peaks ""Berkshire"" 51. [;] J.K. Hodges. History of Wallingford. I. 148","161"," -1.16216200"," 51.55658","scruffyarcher; Jared Obermeyer","https://farm4.staticflickr.com/3743/13310551415_1947b09c06_b.jpg"
"10470","","","berkshire, cholsey, halfpenny lane",""," cholsey berkshire","None","Flat Axe (""small bronze celt"")","","","","","","1000","","Find spot marker","","Item now untraced","None","Is this one of those in Reading Museum? (found near church in 1878)","None","unidentifiable","","","H Peaks ""Berkshire""51 [;] JR Hedges History of Wallingford I 148","482"," -1.24194140"," 51.40222","scruffyarcher; Jared Obermeyer","https://farm4.staticflickr.com/3743/13310551415_1947b09c06_b.jpg"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10471","390","brown patina","england, berkshire, long wittenham, found on the river thames","","long wittenham, berkshire, england","None","Flat Celt","","11","","","","10000","","Find spot marker","In good condition, brown patina, herring-bone ornament on lower half of edge, and across blade between A.B and X.Y","Rev. J.C. Clutterbuck Collection [;] Ashmolean Museums Oxford","None","","None","Ashmolean Museums, Oxford [;] 1896-1908. Pr 371 [;] Rev J.C Clutterbuck Collection. [;] Given by Rev. J.C. Clutterbuck 1885","159","79","","535"," -1.05249040"," 51.45698","Nina Sharman","https://farm8.staticflickr.com/7315/13310550985_13d005a555_b.jpg"
"10471","390.8","","england, berkshire, long wittenham, found near the river thames","","long wittenham","None","Flat. Celt.","","11","","My first try. There are 2 stats for width. Patina is included in Description.","","1000","","Find spot marker","In good condition, brown patina, herring-bone ornament on lower half of edge,and across blade between A.B and X.Y. A faint ridge at A.B.","Ashmolean Museum, Oxford [;] 1896-1908. Pr.371 [;] Rev. J.C.Clutterbuck Collection [;] Given by Rev. J.C.Clutterbuck. 1885. ","None","","None","d","159","79","",," -1.20979040"," 51.64110","Nina Sharman","https://farm8.staticflickr.com/7315/13310550985_13d005a555_b.jpg"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
