"CatalogueNumber","North","East","L","Depth (low)","FS No.","S No.","Description"
"4651","304","306","6","55.2",,"6","W.S. Debitage"
"4652","304","306","7","55.3",,"7","W.S. Debitage"
"4653","304","306","8","55.4",,"8","W.S. Debitage"
"4654","304","306","9","55.5",,"9","W.S. Debitage"
"4655","305","299","2","53.9",,"1","W.S. Debitage"
"4656","305","299","3","54.0",,"2","W.S. Debitage"
"4657","305","299","4","54.1",,"3","W.S. Debitage"
"4658","305","299","5","54.2",,"4","W.S. Debitage"
"4659","305","299","6","54.3",,"5","W.S. Debitage"
"4660","305","299","7","54.4",,"6","W.S. Debitage"
"4661","305","299","8","54.5",,"7","W.S. Debitage"
"4662","305","299","9","54.67",,"8","W.S. Debitage"
"4663","305","300","3","54.1",,"2","W.S. Debitage"
"4664","305","300","4","54.2",,"4","W.S. Debitage"
"4665","305","300","5","54.3",,"5","W.S. Debitage"
"4666","305","300","6","54.4",,"8","W.S. Debitage"
"4667","305","300","7","54.5",,"9","W.S. Debitage"
"4668","305","300","8","4.6",,"10","W.S. Debitage"
"4669","305","300","9","54.7",,"11","W.S. Debitage"
"4670","305","301","3","54.3",,"3","W.S. Debitage"
"4671","305","301","4","54.5",,"4","W.S. Debitage"
"4671","305","301","5","54.5",,"5","W.S. Debitage"
"4673","305","301","6","54.6",,"7","W.S. Debitage"
"4674","305","301","7","54.7",,"8","W.S. Debitage"
"4675","305","302","4","54.4",,"2","W.S. Debitage"
"4676","305","302","5","54.5",,"3","W.S. Debitage"
"4677","305","302","6","54.6",,"4","W.S. Debitage"
"4678","305","302","7","54.7",,"5","W.S. Debitage"
"4679","305","303","3","54.5",,"4","W.S. Debitage"
"4680","305","303","4","54.6",,"5","W.S. Debitage"
"4681","305","303","5","54.7",,"6","W.S. Debitage"
"4682","305","303","6","55.15",,"8","W.S. Debitage"
"4683","305","304","4","54.6",,"3","W.S. Debitage"
"4684","305","304","5","54.7",,"4","W.S. Debitage"
"4685","305","304","6","54.8",,"5","W.S. Debitage"
"4685","305","304","7","54.9",,"6","W.S. Debitage"
"4687","305","304","8","55.25",,"7","W.S. Debitage"
"4688","305","305","2","54.6",,"1","W.S. Debitage"
"4689","305","305","3","54.7",,"2","W.S. Debitage"
"4690","305","305","4","54.8",,"5","W.S. Debitage"
"4691","305","305","5","54.9",,"6","W.S. Debitage"
"4692","305","305","6","55.0",,"7","W.S. Debitage"
"4693","305","305","7","55.1",,"8","W.S. Debitage"
"4694","305","305","8","55.2",,"9","W.S. Debitage"
"4695","305","305","9","55.3",,"10","W.S. Debitage"
"4696","305","306","2","54.7",,"1","W.S. Debitage"
"4697","305","306","3","54.8",,"3","W.S. Debitage"
"4698","305","306","5","55.0",,"6","W.S. Debitage"
"4699","305","306","6","55.1",,"8","W.S. Debitage"
"4700","305","306","7","55.2",,"10","W.S. Debitage"
"4701","305","306","8","55.3","12",,"W.S. Debitage"
"4701","305","306","8","55.3",,,"W.S. Debitage"
"4701","305","306","8","55.3","","12","W.S. Debitage"
"4702","305","306","9","55.4","13",,"W.S. Debitage"
"4702","305","306","9","55.4",,,"W.S. Debitage"
"4702","305","306","9","55.4","","13","W.S. Debitage"
"4703","",,"","",,,"Pottery"
"4703","-","-","-","-",,"-","POTTERY"
"4703","","","","","","","Pottery"
"4704","302","304","1","54.6",,,"W.S. Debitage"
"4704","302","304","1","54.6","2",,"POTTERY"
"4704","302","304","1","54.6","2","","Pottery"
"4705","302","304","6","54.8",,,"W.S. Debitage"
"4705","302","304","6","54.8","69",,"POTTERY"
"4705","302","304","6","54.8","69","","Pottery"
"4706","303","305","4","55.0",,,"W.S. Debitage"
"4706","302","305","4","55.0","8",,"POTTERY"
"4706","302","305","4","55","8","","Pottery"
"4707","303","299","7","54.8",,,"W.S. Debitage"
"4707","303","299","7","54.8","25",,"POTTERY"
"4707","303","299","7","54.8","25","","Pottery"
"4708","303","300","5","54.6",,,"W.S. Debitage"
"4708","303","300","5","54.6","11",,"POTTERY"
"4708","303","300","5","54.6","11","","Pottery"
"4709","303","301","1","54.47",,,"W.S. Debitage"
"4709","303","301","1","54.47","3",,"POTTERY"
"4709","303","301","1","54.47","3","","Pottery"
"4710","303.41","302.28","7","54.62",,,"W.S. Debitage"
"4710","303.41","302.28","7","54.62","15",,"POTTERY"
"4710","303.41","302.28","7","54.62","15","","Pottery"
"4711","303","305","2","54.9",,,"W.S. Debitage"
"4711","303","305","2","54.9","2",,"POTTERY"
"4711","303","305","2","54.9","2","","Pottery"
"4712","303","306","5","55.0",,,"W.S. Debitage"
"4712","303","306","5","55.0","15",,"POTTERY"
"4712","303","306","5","55","15","","Pottery"
"4713","304","299","1","54.2",,,"W.S. Debitage"
"4713","304","299","1","54.2","1",,"POTTERY"
"4713","304","299","1","54.2","1","","Pottery"
"4714","304","299","6","54.5",,,"W.S. Debitage"
"4714","304","299","6","54.5","20",,"POTTERY"
"4714","304","299","6","54.5","20","","Pottery"
"4715","304","300","1","54.3",,,"W.S. Debitage"
"4715","304","300","1","54.3","4",,"POTTERY"
"4715","304","300","1","54.3","4","","Pottery"
"4716","304","300","1","54.3",,,"W.S. Debitage"
"4716","304","300","1","54.3","10",,"POTTERY"
"4716","304","300","1","54.3","10","","Pottery"
"4717","VOID","","","",,,"after 4820"
"4717","304","300","6","54.5","21",,"POTTERY"
"4717","VOID","","","","","","revised after 4820"
"4717","304","299","1","54.2","1.00","","Debitage specimen that tested positive for B.R."
"4717","304","299","1","54.2","1","","sherd"
"4718","304","301","1","54.4",,,"W.S. Debitage"
"4718","304","301","1","54.4","1",,"POTTERY"
"4718","304","301","1","54.4","1","","Pottery"
"4719","304","301","1","54.4",,,"W.S. Debitage"
"4719","304","301","1","54.4","5",,"POTTERY"
"4719","304","301","1","54.4","5","","Pottery"
"4720","304","301","9","54.9",,,"W.S. Debitage"
"4720","304","301","9","54.9","35",,"POTTERY"
"4720","304","301","9","54.9","35","","Pottery"
"4721","304","302","1","54.5",,,"W.S. Debitage"
"4721","304","302","1","54.5","3",,"POTTERY"
"4721","304","302","1","54.5","3","","Pottery"
"4722","304","302","9","55.0",,,"W.S. Debitage"
"4722","304","302","9","55.0","25",,"POTTERY"
"4722","304","302","9","55","25","","Pottery"
"4723","304","303","4","54.7",,,"W.S. Debitage"
"4723","304","303","4","54.7","10",,"POTTERY"
"4723","304","303","4","54.7","10","","Pottery"
"4724","304","304","1","54.6",,,"W.S. Debitage"
"4724","304","304","1","54.6","8",,"POTTERY"
"4724","304","304","1","54.6","8","","Pottery"
"4725","304","306","3","54.9",,,"W.S. Debitage"
"4725","304","306","3","54.9","5",,"POTTERY"
"4725","304","306","3","54.7","5","","Pottery"
"3402","302","306","3","55.1","4","","Chiptool"
"3402","302","306","3","55.1","4","","Chiptool"
"3402","302","306","3","55.1","4",,"Chiptool"
"3402","302","303","6","54.9","","","Chiptool"
"3402","VOID","reused","after","4728",,,
"3416","302","306","8","55.6","27","","left hand distal phalanx"
"3416","302","306","8","55.6","27","","Left hand distal 1st phalanx"
"3416","302","306","8","55.6","27",,"left distal 1st plalaix human head"
"3416","302","303","8","55.10","","","Chiptool"
"3416","VOID","reused","after","4728","",,
"3430","303","302","13","55.3","47","","1st right molar maxillary"
"3430","303","302","13","55.3","47","","1st right premolar maxillary"
"3430","303","302","13","55.3","47",,"Ist right prendir instrillogy"
"3430","302","303","12","55.50","53","","Chiptool"
"3430","VOID","reused","after","4728",,,""
"3442","303","304","11","55.4","31","","hand-right 5th metacarpal"
"3442","303","304","11","55.4","31","","hand-right 5th metacarpal"
"3442","303","304","11","55.4","31",,"head right sm metaeurpn"
"3442","303.36","306.47","7","55.12","23",,"2nd primal phaleax-hent vght"
"3442","302","304","8","55.0","17","","Chiptool"
"3442","VOID","reused","after","4728",,,""
"3457","303.36","306.47","7","55.12","23","","2 or 3 proximal phalanx hand-right"
"3457","303.36","306.47","7","55.12","23","","1 2 or 3 proximal phalanx - hand"
"3457","302","304","14","55.6","32","","Chiptool"
"3457","VOID","","","","","","reused after 4728"
"3463","303","306","10","55.5","48","","right mandible frag."
"3463","303","306","10","55.5","48","","right mandible frag."
"3463","303","306","10","55.5","40",,"right, meetiWe frag"
"3463","302","305","2","54.8","3","","Chiptool"
"3463","VOID","","","","","","reused after 4728 - also see 4094, 4095"
"3476","304","299","5","54.3","12","","lateral right (2nd) incisor mandibular"
"3476","304","299","5","54.3","12","","lateral right (2nd) incisive mandibular"
"3476","304","299","5","54.3","12",,"petrist right (2nd) incisor meat holir"
"3476",,,,,,,
"3476","VOID","","","","","","reused after 4728"
"3547","304.99","300.35","7","54.52","28","","left frontal frag. eye orbit"
"3547","304.99","300.35","7","54.52","28","","left frontal frag. eye orbit"
"3547","304.99","300.35","7","54.52","28",,"left, frontal frag- eye, gebit"
"3547","VOID ","","","","","","reuse after 4728"
"3547",,,,,,,"Chiptool"
"3589","304.95","302.99","7","54.78","20","","lateral right (2nd) incisor maxillary"
"3589","304.95","302.99","7","54.78","20","","lateral right (2nd) incisive maxillary"
"3589","304.95","302.99","7","54.78","20",,"infrost right (2nd) inciser mend holier"
"3589","VOID","","","","","","reused after 4728"
"3589","","","","","","","Chiptool"
"3653","304","303","7","55","29","","right foot prox. 3rd phalanx"
"3653","304","303","7","55.0","29","","right foot prox 3rd phalanx"
"3653","304","303","7","55.0","29",,"right foot, prox 3rd pheleax"
"3653","VOID","","","","","","reused after 4728"
"3653","","","","","","","Chiptool"
"3671","304","303","8","55.1","34","","right 1st incisor mandible #2"
"3671","304","303","8","55.1","34","","right 1st incisor mendible"
"3671","304","303","8","55.1","34",,"right 1st incisor mend ib lr initial 2"
"3671","VOID","","","","","","reused after 4728"
"3671","","","","","","","Chiptool"
"3707","304","303","8","55.1","35","","right rib - head & neck frag. - 2nd/3rd"
"3707","304","303","8","55.1","35","","right rib-head & neck frag - 2nd/3rd"
"3707",,,,,"35",,"right rib-head neck fry 2nd/ 3rd"
"3707","VOID","","","","","","REUSED AFTER 4723"
"3707","VOID","reused",,"after","47","28",""""
"3707","303","306","","","","","chip tool"
"3846","304","304","10","55.2","26","","left foot phalanx - 1st proximal"
"3846","304","304","10","55.2","26","","left foot phalanx - 1st proximal"
"3846","304","304","10","55.2","26",,"left foot, phaluna-bt proximal"
"3846","VOID","","","","","","reused after 4728"
"3846","304","304","7","54.9","","","chiptool"
"3854","304.37","305.88","5","55.02","10","","right femur - also see 4741"
"3854","304.37","305.88","5","55.02","10","","right femur - also see 4741"
"3854","304.37","305.88","5","55.02","10",,"right femur-aliosre 4741"
"3854","VOID","","","","","","reused after 4728"
"3854","VOID","reused","after","4728",,,""
"3930","305.2","303.99","5","54.68","26","","left 4th metatarsal"
"3930","305.20","303.99","5","54.68","26","","left 4th metatarsal"
