"taskID","userID","provenance","title","imageTitle","objectNumber","negativeNumber","distribution","otherNotes","comments","imageURL","inputBy"
39809,580,"E.12.7.B Level III","Alabaster Fragment","AW.OC.48-49.0751","751","","Birmingham","w. 5.6 cms. l. 3.7 cms.","","https://www.flickr.com/photos/25459876@N04/18090889756","A Paull; Jenell Diegor; Denis Antoine"
39809,1012,"Level III - w. 5.7cms. 1. 3.7cms","Alabaster Fragment - E.12.7.B","AW.OC.48-49.0751","751","","Birmingham","AW/48-49","No drawing","https://www.flickr.com/photos/25459876@N04/18090889756","A Paull; Jenell Diegor; Denis Antoine"
39809,1013,"E.12.7.B","Alabaster Fragment","AW.OC.48-49.0751","751","","Birmingham","Level III - w. 5.6cms, l. 3.7 cms","","https://www.flickr.com/photos/25459876@N04/18090889756","A Paull; Jenell Diegor; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
39810,580,"E.12.6.J. (Below lev. IV)","Steatite Scarab","AW.OC.48-49.0752","752","","","H/55/13 15[;]B","","https://www.flickr.com/photos/25459876@N04/17929455138","A Paull; Jenell Diegor; Denis Antoine"
39810,1012,"E.12.6.J (Below level 4)","Steatite Scarab","AW.OC.48-49.0752","752","","Birmingham","AW.48-49, Double.","","https://www.flickr.com/photos/25459876@N04/17929455138","A Paull; Jenell Diegor; Denis Antoine"
39810,1013,"E.12.6.J (Below Lev. IV)","Steatite Scarab","AW.OC.48-49.0752","752","","","","","https://www.flickr.com/photos/25459876@N04/17929455138","A Paull; Jenell Diegor; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
39811,580,"E.15.X","Chalcedony arrowhead","AW.OC.48-49.0753","753","","","","","https://www.flickr.com/photos/25459876@N04/17496808463","A Paull; Jenell Diegor; Denis Antoine"
39811,1012,"E.15.X","Chalcedony arrowhead","AW.OC.48-49.0753","753","","","AW/48-49","No negative number or distribution","https://www.flickr.com/photos/25459876@N04/17496808463","A Paull; Jenell Diegor; Denis Antoine"
39811,1013,"E.15.X","Chalcedony Arrowhead","AW.OC.48-49.0753","753","","","","","https://www.flickr.com/photos/25459876@N04/17496808463","A Paull; Jenell Diegor; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
39812,580,"E.15.X","Arrow head with broken tip","AW.OC.48-49.0754","754","","","","","https://www.flickr.com/photos/25459876@N04/17496807813","A Paull; Jenell Diegor; Denis Antoine"
39812,1012,"E.15.X","Arrow head with broken tip","AW.OC.48-49.0754","754","","","AW/48-49","Possible Birmingham as Distribution but may be scrubbed out. No negative number.","https://www.flickr.com/photos/25459876@N04/17496807813","A Paull; Jenell Diegor; Denis Antoine"
39812,1013,"E.15.X","Arrow head with broken tip","AW.OC.48-49.0754","754","","","","","https://www.flickr.com/photos/25459876@N04/17496807813","A Paull; Jenell Diegor; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
39813,580,"E.12.6.M Level 2. 95 cms.","Sdrist net scriker","AW.OC.48-49.0755","755","","","Length 5.9 cms. width 1.8 cms.[;]B","","https://www.flickr.com/photos/25459876@N04/17494755264","A Paull; Jenell Diegor; Denis Antoine"
39813,1012,"E.12.6 M Level 2. 95cms","Schist net striker","AW.OC.48-49.0755","0.755","","Birmingham","AW/48-49. Length 5.9cms, width 1.8cms","","https://www.flickr.com/photos/25459876@N04/17494755264","A Paull; Jenell Diegor; Denis Antoine"
39813,1013,"E.12.6.M Level 2 95cms","Sdust net sinker","AW.OC.48-49.0755","755","","","Length 5.9cms, width 1.8cms","","https://www.flickr.com/photos/25459876@N04/17494755264","A Paull; Jenell Diegor; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
39814,580,"E.12.6.L. Level II - 55 cms.","Schist net sinker","AW.OC.48-49.0756","756","","","l. 5.5 cms w. 1.6 cms","","https://www.flickr.com/photos/25459876@N04/18117372715","A Paull; Jenell Diegor; Denis Antoine"
