"taskID","userID","provenance","title","imageTitle","objectNumber","negativeNumber","distribution","otherNotes","comments","imageURL","inputBy"
48368,580,"Surface in Town site in Q.45.","Part of ring. Cartouche of Akhenaten. Blue glazed faïence.","TA.OC.24-25.001","24-5/1","","U.S.A.","5. 11. 24.[;]Umbarak","","https://www.flickr.com/photos/25459876@N04/18861538646","Jacky Garbutt; Susan Magyarody; Denis Antoine"
48368,658,"Surface in Town site in Q.45","Part of Ring. Cartouche of Akhenaten. Blue glazed faience.","TA.OC.24-25.001","1","","U.S.A.","","","https://www.flickr.com/photos/25459876@N04/18861538646","Jacky Garbutt; Susan Magyarody; Denis Antoine"
48368,1083,"","Part of Ring. Cartouche of Akhenaten. Blue glazed faience.","TA.OC.24-25.001","24-5/1","","Umbarak","diameter of ring 2.4 cms.  Surface in Town site in Q.45","not in standard format","https://www.flickr.com/photos/25459876@N04/18861538646","Jacky Garbutt; Susan Magyarody; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48369,580,"N.H. (North House of Occupation)","Ring with cartouche of Tutenkhaton. (2 pieces). Blue glazed faïence.","TA.OC.24-25.002","24-5/2","","U.S.A.","5. 11. 24.[;]Umbarak","","https://www.flickr.com/photos/25459876@N04/18700099480","Jacky Garbutt; Susan Magyarody; Denis Antoine"
48369,658,"N.H. (North House of Occupation)","Ring with Cartouche of Tutenkhaton [sic](2 pieces). Blue glazed faience.","TA.OC.24-25.002","2","","U.S.A.","","","https://www.flickr.com/photos/25459876@N04/18700099480","Jacky Garbutt; Susan Magyarody; Denis Antoine"
48369,1083,"","Ring with Cartouche of Tutenkhaton (2 pieces)  Blue glazed faience  ","TA.OC.24-25.002","24-5/2","","Umbarak","diam. 2.3 cms.  N.H. (North House of Occupation)","","https://www.flickr.com/photos/25459876@N04/18700099480","Jacky Garbutt; Susan Magyarody; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48370,580,"North House of Occupation","Part of ring and bezel. Gazelle feeding. Blue glazed faïence.","TA.OC.24-25.003","24-5/3","","East Anglia","5. 11. 24.[;]Umbarak","","https://www.flickr.com/photos/25459876@N04/18861537376","Michael George Adams; Susan Magyarody; Denis Antoine"
48370,658,"North House of Occupation.","Part of ring and bezel. Gazelle feeding. Blue glazed faience.","TA.OC.24-25.003","3","","East Anglia","","","https://www.flickr.com/photos/25459876@N04/18861537376","Michael George Adams; Susan Magyarody; Denis Antoine"
48370,677,"","Part of Ring and Bazel. Gazette feeding Blue glazed fairence  ","TA.OC.24-25.003","24-5/ 3. ","","East Auglia ","5.11.24 2/1 Umbarak North House of Occupation. ","Some of the handwriting was difficult to decipher. I made my best possible judgement. The title of image appeared to be under the drawing and the Distribution appeared to be above the drawing. Some confusion.    ","https://www.flickr.com/photos/25459876@N04/18861537376","Michael George Adams; Susan Magyarody; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48371,580,"N. House, Owner's bedroom","Limestone figurine of quatting Ape and young (was painted red).","TA.OC.24-25.004","24-5/4","","Australia","6. 11. 24.[;]Umbarak","","https://www.flickr.com/photos/25459876@N04/18267150063","Michael George Adams; Susan Magyarody; Denis Antoine"
48371,658,"N. House . Owner's bedroom.","Limestone figurine of squatting ape and young (was painted red).","TA.OC.24-25.004","4","","Australia","","","https://www.flickr.com/photos/25459876@N04/18267150063","Michael George Adams; Susan Magyarody; Denis Antoine"
48371,677,"","Limestone figurine of Squatting Ape and young (was painted red)","TA.OC.24-25.004","24-5/ 4 ","","Australia","6-11-24 Thickness 1.9 cms blaxbarark N. House Owner's bedroom","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","https://www.flickr.com/photos/25459876@N04/18267150063","Michael George Adams; Susan Magyarody; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48372,433,"Group North of Randler (Peat) ","Wooden Nail","TA.OC.24-25.005","24-5/5","N 49.44","East Anglia","7-11-24; 1/2; c. Ali Sheraif","","https://www.flickr.com/photos/25459876@N04/18700098060","Joellen mcGann; Susan Magyarody; Denis Antoine"
48372,580,"Group North of Randler ([...] N.49.44.","Wooden nail.","TA.OC.24-25.005","24-5/5","","East Anglia","6. 11. 24.[;]c Ali Sheraif","","https://www.flickr.com/photos/25459876@N04/18700098060","Joellen mcGann; Susan Magyarody; Denis Antoine"
48372,658,"Group north of R[...] P[...]. N.49.44","Wooden nail.","TA.OC.24-25.005","5","","East Anglia","","","https://www.flickr.com/photos/25459876@N04/18700098060","Joellen mcGann; Susan Magyarody; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48373,580,"Group N. of [...] ([...]) N.49.44.","Bronze arrowhead (?) or small knife blade (??).","TA.OC.24-25.006","24-5/6","","Australia","7. 11. 24.[;]c Ali Sheraif","","https://www.flickr.com/photos/25459876@N04/18701623989","Michael George Adams; Susan Magyarody; Denis Antoine"
48373,658,"N.49.44 Group north of R[...](P[...])","Bronze arrowhead(?) or small knife blade(?)","TA.OC.24-25.006","6","","Australia","","","https://www.flickr.com/photos/25459876@N04/18701623989","Michael George Adams; Susan Magyarody; Denis Antoine"
48373,677,"","Bronze arrowhead (?) or small knifeblade (??)","TA.OC.24-25.006","24-5./6","N.49.44","Australia ","7-11-24 'Ali Sharaif Group N of Rawofei (Feet) ","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","https://www.flickr.com/photos/25459876@N04/18701623989","Michael George Adams; Susan Magyarody; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48374,433,"Group H of Rapester (peat)","Bronze object, broken both ends.","TA.OC.24-25.007","24-5/7","N.49.43","Ash (G)","7-11-24; 1/1; section; Sawag awad","","https://www.flickr.com/photos/25459876@N04/18700077988","Joellen mcGann; Susan Magyarody; Denis Antoine"
48374,580,"Group N. of [...] ([...])","Bronze object, broken both ends.","TA.OC.24-25.007","24-5/7","","Ash. ([...])","7. 11. 24.[;]Sanag Awad","","https://www.flickr.com/photos/25459876@N04/18700077988","Joellen mcGann; Susan Magyarody; Denis Antoine"
48374,658,"N.49.43 Group N of R[...] P[...]","Bronze object, broken both ends.","TA.OC.24-25.007","7","","Ash.","","","https://www.flickr.com/photos/25459876@N04/18700077988","Joellen mcGann; Susan Magyarody; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48375,433,"Group N of Ranster (Peet) South wall of Room 2","Tile: Bright blue glaze both faces. The two shorter ends are also coloured blue.","TA.OC.24-25.008","24-5/8","N.49.45","U.S.A.","7-11-24; 1/2; Thickness 1.25 cms; Sady","","https://www.flickr.com/photos/25459876@N04/18267148403","Joellen mcGann; Susan Magyarody; Denis Antoine"
48375,580,"Group N. of Randler (Peet), South wall of Room 2, N.49.45.","Tile. Bright blue glaze both faces. The two shorter ends are also coloured blue.","TA.OC.24-25.008","24-5/8","","U.S.A.","7. 11. 24.[;]Sady","","https://www.flickr.com/photos/25459876@N04/18267148403","Joellen mcGann; Susan Magyarody; Denis Antoine"
48375,658,"N.49.45. Group N of R[...] (Peet). South wall of Room 2.","Tile. Bright blue glaze both faces. The two shorter ends are also coloured blue.","TA.OC.24-25.008","8","","","","","https://www.flickr.com/photos/25459876@N04/18267148403","Joellen mcGann; Susan Magyarody; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48376,433,"Group N of Randler (Peat) against north Wall Room 2 with beads + needles, etc.","Bronze knife","TA.OC.24-25.009","24-5/9","N.49.45","Australia","7-11-24; 1/2; Photo 8; Sadiq","","https://www.flickr.com/photos/25459876@N04/18700096510","Joellen mcGann; Susan Magyarody; Denis Antoine"
48376,580,"Group N. of Randler (Peet), N.49.45., Against North wall Room 2, with [...] & needles etc","Bronze knife","TA.OC.24-25.009","24-5/9","","Australia","7. 11. 24.[;]Sadiq","","https://www.flickr.com/photos/25459876@N04/18700096510","Joellen mcGann; Susan Magyarody; Denis Antoine"
48376,658,"N.49.45. Group N of R[...] P[...]. Against North wall Room 2 with beads and needles.","Bronze knife.","TA.OC.24-25.009","9","","Australia","","","https://www.flickr.com/photos/25459876@N04/18700096510","Joellen mcGann; Susan Magyarody; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48377,433,"East end of GNRP","Part of vessel in varigated glass. Blue matrix white, dark blue and yellow strips. Handle of plain blue.","TA.OC.24-25.010","24-5/10","N.49.43","Australia","8-11-24; Diam of fragment 3.5 cms; Sawaq Awad","No drawing","https://www.flickr.com/photos/25459876@N04/18700075808","Joellen mcGann; Susan Magyarody; Denis Antoine"
48377,580,"East end of GNRP, N.49.43.","Part of vessel in variegated glass. Blue matrix white. Dark blue and yellow strips. Handle of plain blue.","TA.OC.24-25.010","24-5/10","","Australia","8. 11. 24.[;]Sawag Awad","","https://www.flickr.com/photos/25459876@N04/18700075808","Joellen mcGann; Susan Magyarody; Denis Antoine"
48377,658,"N.449.43 East end of GNRP.","Part of vessel in vaiegated glass. Blue matrix white. Dark blue and yellow stripes. Handle of plain blue.","TA.OC.24-25.010","10","","Australia","","","https://www.flickr.com/photos/25459876@N04/18700075808","Joellen mcGann; Susan Magyarody; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48378,433,"East end of GNRP N. 49.43","11) Amulet Taweret, hippo in blue faience; 12) Amulet, Bes lion dark blue faience","TA.OC.24-25.011","24-5/11, 12","None given","Bolton","8-11-24; a) h 1.4 cms, 2/1; b) h 1.1 cms, 2/1; Saway Awad","","https://www.flickr.com/photos/25459876@N04/18887776435","Michael George Adams; Joellen mcGann; Denis Antoine"
48378,580,"East end of GNRP, N.49.43.","11) Amulet. Taweret, hippo in blue faïence. 12) Amulet. Bes in dark blue faïence.","TA.OC.24-25.011","24-5/11 & 24-5/12","","Bolton","8. 11. 24.[;]Sawag Awad","","https://www.flickr.com/photos/25459876@N04/18887776435","Michael George Adams; Joellen mcGann; Denis Antoine"
48378,677,"","","TA.OC.24-25.011","24 - 5/ 11,12  ","","Bolton ","8-11-24 II) Amulet. Taiveret, Lipps. in blue facence h. 1.4 cms 2) Amulet Bes tin dark blue faicence h. 1.1 cms. 2/1 MC. Sarvay Awad East End of GNRP N. 44. 43  ","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","https://www.flickr.com/photos/25459876@N04/18887776435","Michael George Adams; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48379,433,"East end of GNRP N. 49.43","11) Amulet Taweret, hippo in blue faience; 12) Amulet, Bes lion dark blue faience","TA.OC.24-25.012","24-5/11, 12","None given","Bolton","8-11-24; a) h 1.4 cms, 2/1; b) h 1.1 cms, 2/1; Saway Awad","Seems to be repeat card","https://www.flickr.com/photos/25459876@N04/18890607501","Michael George Adams; Joellen mcGann; Denis Antoine"
48379,580,"East end of GNRP, N.49.43.","11) Amulet. Taweret, hippo in blue faïence. 12) Amulet. Bes in dark blue faience.","TA.OC.24-25.012","24-5/11 & 24-5/12","","Bolton","8. 11. 24.[;]Sawag Awad","Same card as previous one?","https://www.flickr.com/photos/25459876@N04/18890607501","Michael George Adams; Joellen mcGann; Denis Antoine"
48379,677,"","II) Amulet. Taiveret, hipps in blue facence h. 1.4cms 2) Amulet Bes Pihn Dark blue finience h. 1.1 cms ","TA.OC.24-25.012","24-5/ 11,12 ","N 49.43","Bolton ","8 - 11 - 24. 2/1 2/1 MCC. Sarvay Awad East End of GNRP","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","https://www.flickr.com/photos/25459876@N04/18890607501","Michael George Adams; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
