"taskID","userID","provenance","title","imageTitle","objectNumber","negativeNumber","distribution","otherNotes","comments","imageURL","inputBy"
48699,580,"Main Chapel","Fragment of sandstone relief inscribed.","TA.SC.26-27.035","26-7/35","","","","","https://www.flickr.com/photos/25459876@N04/18673386429","Michael George Adams; Denis Antoine"
48699,677,"","fragment of sandstone relief inscribed","TA.SC.26-27.035","","","","T.A./S 26-7/ 35 main chapel. 9 x 6.5","","https://www.flickr.com/photos/25459876@N04/18673386429","Michael George Adams; Denis Antoine"
48699,,"V.A/S  Main Chapel","Fragment of sandstone relief inscribed","TA.SC.26-27.035","26 7 35","","","9 x 6.5","","https://www.flickr.com/photos/25459876@N04/18673386429","Michael George Adams; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48700,580,"Main Chapel","Fragment of painted sandstone relief.","TA.SC.26-27.036","26-7/36","","","","","https://www.flickr.com/photos/25459876@N04/18671859370","Michael George Adams; Denis Antoine"
48700,677,"","fragment of brissted sandstone relief","TA.SC.26-27.036","","","","T.A./ 5 26-7/ 36 main chapel 7 x 2.8 ","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","https://www.flickr.com/photos/25459876@N04/18671859370","Michael George Adams; Denis Antoine"
48700,,"T.A.5 Main Chapel","Fragment of painted sandstone relief","TA.SC.26-27.036","26 7 36","","","7 x 2.8","","https://www.flickr.com/photos/25459876@N04/18671859370","Michael George Adams; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48701,580,"Main Chapel","Fragment of sandstone relief sculptured.","TA.SC.26-27.037","26-7/37","","","","","https://www.flickr.com/photos/25459876@N04/18862298751","Michael George Adams; Denis Antoine"
48701,677,"","Fragment of Sandstone elill soulp tusers","TA.SC.26-27.037","T.A./5 26-7/ 37 ","","","Main Chapel. 12 x 4","","https://www.flickr.com/photos/25459876@N04/18862298751","Michael George Adams; Denis Antoine"
48701,,"T.A.S Main Chapel","Fragment of sandstone relief sculptures","TA.SC.26-27.037","26 7 37","","","12 x 4","","https://www.flickr.com/photos/25459876@N04/18862298751","Michael George Adams; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48702,580,"Main Chapel","Fragment of limestone relief, sculptured.","TA.SC.26-27.038","26-7/38","","","","","https://www.flickr.com/photos/25459876@N04/18862298261","Michael George Adams; Denis Antoine"
48702,677,"","fragment of limestone relief . culptured ","TA.SC.26-27.038","","","","T.A./ S 26/7/ 38 main chapel 5 x 4.8 ","","https://www.flickr.com/photos/25459876@N04/18862298261","Michael George Adams; Denis Antoine"
