"taskID","userID","provenance","title","imageTitle","objectNumber","negativeNumber","distribution","otherNotes","comments","imageURL","inputBy"
32844,1,"T.35.17","Flat, rectangular trough, rim having designs of fishes.","TA.OC.30-31.001","1.","0.13","San Diego","City of Akhenaten Vol II","","https://www.flickr.com/photos/25459876@N04/16500549045","Daniel Pett; Elaine Dale; Susan Magyarody"
32844,226,"T.35.17","Flat, rectangular trough, rim having design of fishes","TA.OC.30-31.001","1","Neg. = 0.013","San Diego","CITY OF AKHENATEN VOL II","","https://www.flickr.com/photos/25459876@N04/16500549045","Daniel Pett; Elaine Dale; Susan Magyarody"
32844,658,"T.35.17","Flat, rectangular trough,, rim having design of fishes.","TA.OC.30-31.001","1","0.13","San Diego","CITY OF AKHENATEN, VOL. II","","https://www.flickr.com/photos/25459876@N04/16500549045","Daniel Pett; Elaine Dale; Susan Magyarody"
,,,,,,,,,,,
,,,,,,,,,,,
32845,1,"T.35.17","Bronze ring","TA.OC.30-31.002","2","0.93","Wellcome H.M. Museum","","","https://www.flickr.com/photos/25459876@N04/16314628707","Daniel Pett; Nicky van de Beek; Susan Magyarody"
32845,470,"T.35.17","Bronze ring","TA.OC.30-31.002","2","0.93","Wellcome H. M. Museum","T.A. 30-31 / section / elevations / full scale / pitting? attachment","","https://www.flickr.com/photos/25459876@N04/16314628707","Daniel Pett; Nicky van de Beek; Susan Magyarody"
32845,658,"T.35.17","Bronze ring.2","TA.OC.30-31.002","","0.93","Wellcome H.M. Museum","","","https://www.flickr.com/photos/25459876@N04/16314628707","Daniel Pett; Nicky van de Beek; Susan Magyarody"
,,,,,,,,,,,
,,,,,,,,,,,
32846,1,"T.35.17","Small fragment of bronze","TA.OC.30-31.003","3","","","AA traces of mortar","Full scale","https://www.flickr.com/photos/25459876@N04/16314268489","Daniel Pett; Nicky van de Beek; Susan Magyarody"
32846,470,"T.35.17","Small fragment of bronze","TA.OC.30-31.003","3","","","T.A. 30-31 / A.A. traces of mortar / full scale","","https://www.flickr.com/photos/25459876@N04/16314268489","Daniel Pett; Nicky van de Beek; Susan Magyarody"
32846,658,"T.35.17","Small fragment of bronze.","TA.OC.30-31.003","3","","","","No Negative number.
Distribution not noted.","https://www.flickr.com/photos/25459876@N04/16314268489","Daniel Pett; Nicky van de Beek; Susan Magyarody"
,,,,,,,,,,,
,,,,,,,,,,,
32847,1,"T.36.37","Fragment (head and shoulders) in terracotta, of figurine: flat at back.","TA.OC.30-31.004","4","","","","","https://www.flickr.com/photos/25459876@N04/15880397933","Daniel Pett; Nicky van de Beek; Susan Magyarody"
32847,470,"T.36.37","Fragment (head and shoulders) in Terracotta, of figurine: flat at back.","TA.OC.30-31.004","4","","","T.A. 30-31 / Full scale","","https://www.flickr.com/photos/25459876@N04/15880397933","Daniel Pett; Nicky van de Beek; Susan Magyarody"
