"userID","taskID","dateOfObject","dateOfLevel","description","level","excNumber","comments","materials","regNumber","date","photoNumbers","objectType","unit","size","imageURL","imageTitle","fullname"
1,62431,"","","Found 22.2.84 upper part of handle of key. Stained brown, incised decoration both faces. ","9-10","129","Drawing present 1:1","Wood","","85.12.20","88F 3/6-8 (Bottom)[;] 86F 80/16-18 (centre)[;]84F 111/23 (last)","Fragment of key","785 House room 8","Length 14.7cms[;] Width (HT) 1.8cms [;] Thickness 1.7","https://www.flickr.com/photos/115096994@N02/27195893085","QasrIbrim85.12.20.129","Daniel Pett"
580,62431,"","","Found 22. 2. 84. Upper part of handle of key. Stained brown. Incised decoration both faces.","9-10","129","Date in left handside corner: 85. 12. 20.","Wood","","22.2.84","88F3/6-8 (bottom); 88F 80/16-17 (centre); 84F 111/23 (left)","Fragment of Key","785 House - Room 8","1:1","https://www.flickr.com/photos/115096994@N02/27195893085","QasrIbrim85.12.20.129","Denis Antoine"
677,62431,"","","Found 22.2.84. Upper part of handle of key. Stained brown, incised decoration both faces. 1:1","9-10","129","Some of the handwriting was difficult to decipher/ follow.  I made my best possible judgement. ","Wood.","","85.12.20","88F 3/ 6-8 (Bottom). 86F 80/ 16-17 (Centre). 84F 41/ 23 (Loor). ","Fragment of key.","785 House. Room 8","Length 14.7 cms. Width (MT) 1.8. Thickness 1.7","https://www.flickr.com/photos/115096994@N02/27195893085","QasrIbrim85.12.20.129","Michael George Adams"
226,62432,"","","Found 22.2.84 [;] Piece of unstained wood complete. Bark off; moderately carefully trimmed, only.  Centre intentionally thicker that ends.  For a a length of 5.0 there are traces of a thin white plaster coat on all 4 surfaces and the end - only this [...] against a tumbler.  There is also a slight depression in the face (only one face) at this point","9-10","130","","wood","","85.12.20","88F8/24-25 (centre) [;] 86F80/16-17 (right) [;] 84F111/23 (left)","Lock tumbler (??)","715 House Room 8","length 7.2 cm [;] width 2.3 cm [;] thickness 1.2 cm","https://www.flickr.com/photos/115096994@N02/27100069182","QasrIbrim85.12.20.131","Elaine Dale"
580,62432,"","","Found 22. 2. 84.
Piece of unstained wood, complete. Bark off; moderalely carefully trimmed, only. Centre intentionally thicker than ends.
For a length of 5.0 there are traces of a thin white plaster coat on all 4 surfaces and the end - only this argues against a tumbler. There is also a slight depression in the face (only one face) at this point.","9-10","130","","Wood","","85. 12. 20.","88F 8 / 24-25 (centre); 86F 80 / 16-17 (right); 84F 111 / 23 (left)","Lock tumber (??)","785 House - Room 8","Length: 7.2cms; width 2.3 cms; Thickness 1.2 cms","https://www.flickr.com/photos/115096994@N02/27100069182","QasrIbrim85.12.20.131","Denis Antoine"
677,62432,"","","Found 22.2.84.
Piece of unstained wood. Complete. Dark off; necessary carefully trimmed, only centre intentionally thicker then ends. For a longm of s.o there are traces of a thin lining plaster coat on all 4 surfaces and the end. - sinvg this already against a tungige. There is also a sugmt depression on this face (only one face) at this point. Mars-kw etc over and area 'n' patch. Green, poheg accubeve, some plane in. Grooves perhaps with toothing. oplin. Uair.     ","9-10","130","Some of the handwriting was very difficult to decipher/ follow. I made my best possible judgement. ","Wood.","","85.12.20","88F8/ 24-25 (centre). 86.F.80/ 16-17 (rglr). 84F 111/ 23 (last). ","Lock Tumbier (??) ","715 House. Room 8. ","Length 7.2 cms. Width 2.3 "". Thickness 1.2 "".  ","https://www.flickr.com/photos/115096994@N02/27100069182","QasrIbrim85.12.20.131","Michael George Adams"
210,62433,"","","Found 22.2.84
","9-10","131","","","","85.12.20","88F/31-33 (left)","Fragment of unknown object","785 House, Room 7","","https://www.flickr.com/photos/115096994@N02/26589874994","QasrIbrim85.12.20.133","Kerstin Michaels"
580,62433,"","","Found 22. 2. 84.
Approc. triangular block, through which passes a round-section peg, with the head hammered flat. This clearly attached the present piece to another.
Saw-cuts across the face the peg enters, appear to have been made before peg inserted. Also a small X less deeply cut.
Material adhering at another point, seems to be dirt but may show an adhesive used there.
Drawing overleaf.","9-10","131","","Wood","","22. 2. 84.","88F 8/31-33 (left); 86F 80/16-17 (left); 84F 111/23 (left)","Fragment of unknown object","785 House - Room 8 ","7.0 x 4.4 x 5.1 cms; Peg 5.8 long; 0.8 dia.","https://www.flickr.com/photos/115096994@N02/26589874994","QasrIbrim85.12.20.133","Denis Antoine"
677,62433,"","","","9-10","131","","","","85.12.20","88F 8/ 31-33 (Rogr)","Fragment of unknown object","785 House. Room 8","","https://www.flickr.com/photos/115096994@N02/26589874994","QasrIbrim85.12.20.133","Michael George Adams"
580,62434,"","","(A) Complete small peg, stained brown, perhaps original feature, shaped with knife; head facetted, point slightly burred.
(B) Pointed end of similar peg, not stained, bark off, point not sharpened but intentionally left with dia. of c 0.8; no signs of wear on it.
Date of finding not recorded (ex-bone bag).","1","132","","Wood","","85. 12. 20.","Not [...] in 1984[;](A) 88F 3/17-18 (2nd from bottom); 86F 80/12 (above)[;](B) 88F 8/20-21 (bottom);  86F 80/12 (below)","Pegs","327 Lower Cathedral street","(A) Length 12.7 cms; max 1.2 x 1.0 cms[;](B) Length 8.1 cms; max 1.3 x 1.1 cms","https://www.flickr.com/photos/115096994@N02/26589874614","QasrIbrim85.12.20.135","Denis Antoine"
677,62434,"","","","1","132","","","","85.12.20","Nor planl - ISN","Pegs","327 Louce Cathedral Street","","https://www.flickr.com/photos/115096994@N02/26589874614","QasrIbrim85.12.20.135","Michael George Adams"
717,62434,"","","A. Complete small peg. Stained brown, perhaps original feature. Shaped with knife; head facetted.  Point slighted burred. [;] B.  Point of similar peg.  Point not sharpened, but intentionally left with dia. of c 0.8; no signs of wear on it.  [;] Date of finding not recorded. [;] (Ex. - bone bag)","1","132","","Wood","","85.12.20","A. 88F3/17-18 (2nd from bottom)  86F80/12 (above) [;] B. 88F8/20-21 (bottom) 86F80/12 (below)","Pegs","327 Lower Cathedral Street","A. Length 12.7 [;] Max 1.2 x 1.0 [;] B. Length 8.1 Max 1.3 x 1.1","https://www.flickr.com/photos/115096994@N02/26589874614","QasrIbrim85.12.20.135","Van C. Vives"
